KIC,MSE,Composite Function
8248967,0.0003878034363468327,f(t) = 0.1647 * sin(2π * 3.3755 * t + 6.1031) + 0.8733 + 0.0205 * sin(2π * 6.7524 * t + -6.2832) + 0.1090
8249829,6.564481883509203e-07,f(t) = 0.0004 * sin(2π * 1.8939 * t + 2.2958) + 0.0932 + 0.0030 * sin(2π * 16.8012 * t + -6.2832) + 0.7416 + 0.0004 * sin(2π * 17.4445 * t + -5.4796) + 0.0905 + 0.0003 * sin(2π * 23.6070 * t + -6.2832) + 0.0748
8315263,1.3027699237736735e-05,f(t) = 0.0079 * sin(2π * 13.2338 * t + -2.3230) + 0.4694 + 0.0036 * sin(2π * 13.8749 * t + -6.2832) + 0.2130 + 0.0020 * sin(2π * 15.7766 * t + -6.2832) + 0.1179 + 0.0017 * sin(2π * 17.7122 * t + -6.2832) + 0.1032 + 0.0016 * sin(2π * 18.1481 * t + -6.2832) + 0.0968
8393922,1.4469908460983375e-06,f(t) = 0.0021 * sin(2π * 13.0804 * t + -6.2832) + 0.4076 + 0.0008 * sin(2π * 14.8351 * t + -6.2832) + 0.1598 + 0.0010 * sin(2π * 18.2757 * t + -0.0446) + 0.2009 + 0.0012 * sin(2π * 21.4703 * t + -6.2832) + 0.2318
8516900,4.588566367476509e-06,f(t) = 0.0016 * sin(2π * 10.8696 * t + -5.5135) + 0.1193 + 0.0016 * sin(2π * 11.5497 * t + -6.2832) + 0.1140 + 0.0017 * sin(2π * 12.3025 * t + -6.2832) + 0.1221 + 0.0040 * sin(2π * 12.8894 * t + -6.2832) + 0.2903 + 0.0032 * sin(2π * 16.3541 * t + -6.2832) + 0.2322 + 0.0017 * sin(2π * 19.8301 * t + -6.2832) + 0.1222
8648251,1.1089279362181254e-06,f(t) = 0.0063 * sin(2π * 15.1183 * t + 2.1982) + 0.5007 + 0.0062 * sin(2π * 19.5100 * t + 6.2832) + 0.4993
8649814,7.82286109737286e-06,f(t) = 0.0010 * sin(2π * 1.6175 * t + -6.2832) + 0.0447 + 0.0070 * sin(2π * 7.5984 * t + -3.8293) + 0.3173 + 0.0018 * sin(2π * 9.0222 * t + -6.2832) + 0.0837 + 0.0050 * sin(2π * 9.5512 * t + -6.2832) + 0.2276 + 0.0007 * sin(2π * 9.9281 * t + -6.2832) + 0.0336 + 0.0020 * sin(2π * 11.2959 * t + -6.2832) + 0.0892 + 0.0045 * sin(2π * 15.5991 * t + -6.2832) + 0.2041
8960514,3.0192772280321695e-06,f(t) = 0.0004 * sin(2π * 2.1244 * t + 6.2832) + 0.1017 + 0.0038 * sin(2π * 6.6957 * t + 6.2832) + 0.8985
8963394,0.0003277038489610775,f(t) = 0.1634 * sin(2π * 5.3657 * t + -1.6143) + 0.8871 + 0.0172 * sin(2π * 10.7319 * t + -6.2832) + 0.0933
9075949,0.0012029500257298175,f(t) = 0.1403 * sin(2π * 5.6890 * t + 6.2832) + 0.9891
9077483,0.00017747742781611082,f(t) = 0.0207 * sin(2π * 2.6678 * t + 4.9752) + 0.1130 + 0.1441 * sin(2π * 5.3639 * t + 4.5842) + 0.7861 + 0.0155 * sin(2π * 10.7279 * t + -2.0596) + 0.0843
9137819,0.0005214464873128265,f(t) = 0.1970 * sin(2π * 3.6556 * t + 1.9644) + 0.8538 + 0.0360 * sin(2π * 7.3117 * t + -6.2832) + 0.1561
9202969,2.8535037115325618e-05,f(t) = 0.0472 * sin(2π * 4.9739 * t + 6.2832) + 0.9998
9214444,9.006160651262344e-07,f(t) = 0.0003 * sin(2π * 17.6051 * t + -6.2832) + 0.1327 + 0.0002 * sin(2π * 17.9614 * t + -6.2832) + 0.0824 + 0.0005 * sin(2π * 20.2370 * t + 2.8139) + 0.2256 + 0.0003 * sin(2π * 20.7552 * t + -4.0670) + 0.1258 + 0.0002 * sin(2π * 21.2581 * t + -6.2832) + 0.0797 + 0.0006 * sin(2π * 21.6426 * t + -6.2832) + 0.2491 + 0.0003 * sin(2π * 23.3317 * t + -6.2832) + 0.1048
9364179,8.444653793661976e-06,f(t) = 0.0013 * sin(2π * 29.2347 * t + 3.8187) + 0.2166 + 0.0012 * sin(2π * 30.0273 * t + -6.2832) + 0.1993 + 0.0035 * sin(2π * 30.7392 * t + 6.2832) + 0.5841
9594857,0.00028208333735964063,f(t) = 0.0016 * sin(2π * 4.3228 * t + -3.9099) + 0.0723 + 0.0036 * sin(2π * 6.0567 * t + 1.6596) + 0.1600 + 0.0027 * sin(2π * 6.8692 * t + 4.5008) + 0.1198 + 0.0029 * sin(2π * 7.4479 * t + 2.6925) + 0.1310 + 0.0115 * sin(2π * 9.9572 * t + -2.1630) + 0.5170
