KIC,Average Epsilon
6231538,0.001848618
6606229,0.002751832
6963490,-0.003670897
7300184,0.000960554
7900367,-0.001218931
7915515,-0.004203537
9851822,0.000963406
10350769,0.016804533
10355055,-0.002798455
10415087,-0.009464156
11027806,-0.000235466
11769929,0.003331874
12216817,-0.009695018
1849235,-0.001307425
3424493,-0.109322386
3648131,-6.55e-05
3965879,0.0434612556233908
4072890,0.008680414
8264404,0.0271981645773742
8330102,-0.005654652
8453431,-0.000863596
8493159,-0.002021208
8585472,0.000987313
8845312,-0.000339506
9050337,-0.000359203
4544967,-0.003547446
4569150,-0.001457038
4577647,0.001843073
4940217,-0.01135773
5108514,0.0137291950006241
5358323,0.001125646
5900260,0.000594744
9051991,-0.001395335
9306095,0.005375641
9368220,0.00331158
9368524,0.000594711
9649801,0.000729706
9775887,-0.041911602
9532219,0.0236095899283826
9594189,-0.028708944
9897710,0.003639706
9717148,0.08501882
2581626,-0.005548938
2972514,0.003234457
3119295,0.047336055
3953144,0.0156032081774523
4036687,0.0120870096825298
4066203,-0.044948782
4243668,0.002167348
4374279,0.046472374
4466691,0.06903672
4547067,0.072228503
4651526,0.0611895126429755
4995588,0.003871079
5027750,-0.014477077
5284701,0.000579622
5286485,0.0181670393995652
5353653,-0.073129518
5357882,0.086116768
5534340,-0.020744453
5707205,-0.039949918
5788165,-0.001393348
6304420,-0.018361589
6442207,-0.111274716
6444630,0.0138044463176323
6778487,-0.04763571
6836820,0.08178241
6955650,0.068615063
7048016,0.008630878
7124161,-0.088273554
7347529,0.001426842
7521682,-0.04275917
7601767,0.032720921
7617649,-0.037950402
7668283,0.1098592530573562
7750215,0.0157969991774245
7905603,0.0106244847958152
7937097,-0.059892532
7948091,-0.061367965
7984934,-0.045637004
8052082,-0.011816172
8087649,0.0618966591095963
8090059,-0.018547735
8144212,0.020468042
8150307,0.005128513
8245366,-0.00665868
8248967,0.083342812
8249829,0.0117920044327553
8315263,0.003097395
8393922,0.002190427
8516900,-0.009085376
8648251,0.009634247
8649814,0.0143366290424859
8960514,0.046519284
8963394,-0.088009927
9075949,-0.003769916
9077483,0.077487187
9137819,0.06843583
9202969,-0.09080794
9214444,0.000303894
9364179,0.004855872
9594857,-0.002838901
9614153,-0.001733692
9700322,-0.009895455
9706609,0.0220128990223512
9724292,-0.015141939
9942562,-0.021385343
10451090,0.002298314
11143576,-0.008028942
11704101,-0.028538442
11852985,-0.020873616
