KIC,Epsilon/frequency_pulse
6231538,0.0001255624308041324
6606229,0.0003523833427239666
6963490,-0.00032267083311358403
7300184,4.626166108796686e-05
7900367,-9.19989584434012e-05
7915515,-0.00034461153149312586
9851822,6.575566673264488e-05
10350769,0.005365774634395555
10355055,-0.00012671694371114322
10415087,-0.0013085956058238733
11027806,-3.255755430499288e-05
11769929,0.0001867255109646542
12216817,-0.0011939530301350967
1849235,-0.00019643984013462348
3424493,-0.04034929726138628
3648131,-3.2372056243358792e-06
3965879,0.006648094903691192
4072890,0.001295971036130188
8264404,0.002157745367069489
8330102,-0.000246577012637032
8453431,-3.89874766372017e-05
8493159,-0.00013605239598548746
8585472,7.880662180822618e-05
8845312,-4.4651866270352736e-05
9050337,-2.0461228233069216e-05
4544967,-0.00016978381250029915
4569150,-0.00010713593482305017
4577647,0.00019966773917471045
4940217,-0.002150433580733111
5108514,0.0009802716790278177
5358323,8.726817431213998e-05
5900260,3.432231853279626e-05
9051991,-0.00010680927448368773
9306095,0.00026424886079309443
9368220,0.0002235333823837135
9368524,4.8409523809523815e-05
9649801,3.4415224260717826e-05
9775887,-0.02928628467612326
9532219,0.0011695906078599539
9594189,-0.006564294958271408
9897710,0.0007739444586203964
9717148,0.04189357445550409
2581626,-0.0002361400940485563
2972514,0.0004071264758452282
3119295,0.0052033653211977305
3953144,0.0008509092592314106
4036687,0.0018116836312378852
4066203,-0.008148061633281972
4243668,0.00041508148999329695
4374279,0.007883220640871231
4466691,0.008329720077220076
4547067,0.014719183020521286
4651526,0.009121055457617908
4995588,0.0001629982904687316
5027750,-0.0012363108993245033
5284701,2.370632430951203e-05
5286485,0.0018003567011104372
5353653,-0.013476120959716951
5357882,0.01668056791988688
5534340,-0.0019169842164599774
5707205,-0.0024374122499283115
5788165,-7.795259115042267e-05
6304420,-0.0009906815471854885
6442207,-0.012623480243678317
6444630,0.0022891427297745256
6778487,-0.00938912190795309
6836820,0.009123937078150277
6955650,0.01809134996176866
7048016,0.00041653610416686774
7124161,-0.018836111727552066
7347529,0.0001224956859917068
7521682,-0.003812098923925932
7601767,0.003981567637288424
7617649,-0.0034951236404159106
7668283,0.01967992638470813
7750215,0.0009704031732943768
7905603,0.0005834551443093314
7937097,-0.012776528361456577
7948091,-0.004568754327320374
7984934,-0.0033124780617392376
8052082,-0.0005722865459406314
8087649,0.014852584131495969
8090059,-0.0010102032090804122
8144212,0.001679484208712491
8150307,0.0003485535929100091
8245366,-0.0005576924043317671
8248967,0.012342694745571946
8249829,0.0004995130441290846
8315263,0.0001706732385208369
8393922,0.00010202125727167295
8516900,-0.0004581608766471172
8648251,0.0004938107124551512
8649814,0.0009190677053474816
8960514,0.006947635646758367
8963394,-0.008200777774671774
9075949,-0.0006626676041483565
9077483,0.007222959479488064
9137819,0.009359769957738967
9202969,-0.018256888960373148
9214444,1.3024940317250777e-05
9364179,0.00015797001873828857
9594857,-0.00028511037239384567
9614153,-0.0001164692920579897
9700322,-0.0004424804146023001
9706609,0.0027489664975400177
9724292,-0.0009443172973782024
9942562,-0.0031366926281205082
10451090,5.9888421590239884e-05
11143576,-0.0005111436356459848
11704101,-0.002460019653647562
11852985,-0.0010584836944671227
