,KIC,TIC,spectral_res,R2FFT
0,6231538,171090898,3020889.5824655313,-12.215069745690037
1,6606229,63006029,818277.7949631023,-0.47928561705988826
2,6963490,271964023,0.0,-100000.0
3,7300184,272708257,0.0,-100000.0
4,7900367,271348878,6133580.042517791,-5.166038498785534
5,7915515,268485512,5910448.69775378,-4.530194775449457
6,9851822,268387233,240356420.62561172,-10.618347414220485
7,10350769,272078133,3757404.512777997,-6.426927192452419
8,10355055,273129116,2717125.0620685015,-3.537888430632872
9,10415087,271878019,4156066.816109269,-11.011339266852081
